project_type,source_I_tier,source_II_tier,source_III_tier,N_entered,N_with_meeting,pct_with_meeting,median_days_to_meeting,mean_days_to_meeting,N_to_deal,pct_to_deal,N_won,pct_won_of_entered,win_rate_of_deals,avg_ojp,sum_ankiety,avg_ojp_weighted
Sales only,Inbound,Strona internetowa medidesk,Medidesk edu,2.0,0.0,0.0,,,2.0,100.0,0.0,0.0,0.0,,0.0,
Sales only,Inbound,Strona internetowa medidesk,Umów spotkanie,1.0,0.0,0.0,,,1.0,100.0,1.0,100.0,100.0,,0.0,
Sales only,Inbound,Szkolenie,Szkolenie,5.0,0.0,0.0,,,5.0,100.0,2.0,40.0,40.0,,0.0,
Sales only,Inbound,Telefon na biuro,Telefon na biuro,4.0,0.0,0.0,,,4.0,100.0,3.0,75.0,75.0,,0.0,
Sales only,Inbound,Webinary medidesk,20250219 - AI w służbie zdrowia,1.0,0.0,0.0,,,1.0,100.0,1.0,100.0,100.0,,0.0,
Sales only,Inbound,Zoho Bookings,Zoho Bookings,1.0,0.0,0.0,,,1.0,100.0,0.0,0.0,0.0,,0.0,
Sales only,Outbound,Akwizycja telefoniczna,Akwizycja telefoniczna,202.0,0.0,0.0,,,202.0,100.0,121.0,59.9,59.9,,0.0,
Sales only,Outbound,Akwizycja telefoniczna po konferencji,Akwizycja telefoniczna po konferencji,6.0,0.0,0.0,,,6.0,100.0,0.0,0.0,0.0,,0.0,
Sales only,Outbound,LinkedIn,LinkedIn,2.0,0.0,0.0,,,2.0,100.0,0.0,0.0,0.0,,0.0,
Sales only,Outbound,Reinkarnacja,Reinkarnacja,9.0,0.0,0.0,,,9.0,100.0,6.0,66.67,66.67,,0.0,
